D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
34.0,2.5008,4.8047,,3.0,200000000.0,282.371209,0.0,0.0,0.0
34.0,165.852,199.9954,,3.0,250000000.0,1000000000.0,0.0,0.0,0.0
34.0,165.852,199.9954,,3.0,300000000.0,1000000000.0,0.0,0.0,0.0
34.0,165.852,199.9954,,3.0,350000000.0,1000000000.0,0.0,0.0,0.0
34.0,165.852,199.9954,,3.0,400000000.0,1000000000.0,0.0,0.0,0.0
34.0,165.852,199.9954,,3.0,450000000.0,1000000000.0,0.0,0.0,0.0
34.0,165.852,199.9954,,3.0,500000000.0,1000000000.0,0.0,0.0,0.0
34.0,165.852,199.9954,,3.0,550000000.0,1000000000.0,0.0,0.0,0.0
34.0,165.852,199.9954,,3.0,600000000.0,1000000000.0,0.0,0.0,0.0
34.0,165.852,199.9954,,3.0,650000000.0,1000000000.0,0.0,0.0,0.0
34.0,165.852,199.9954,,3.0,700000000.0,1000000000.0,0.0,0.0,0.0
34.0,94.3354,141.5185,,3.0,750000000.0,194.83920704,0.0,0.0,0.0
34.0,10.3669,35.2801,,3.0,800000000.0,1.3973762569e-12,9.8,8.8,6.88
34.0,11.3688,41.2148,,3.0,850000000.0,4.5696205076e-14,9.7,8.8,10.17
34.0,12.3347,48.0015,,3.0,900000000.0,1.2969718121000001e-12,9.7,8.9,6.55
34.0,129.5662,106.2869,,3.0,950000000.0,82.1386285,0.0,0.0,0.0
34.0,13.9679,66.4151,,3.0,1000000000.0,1.2134322050000003e-25,9.3,8.9,1.86
36.0,2.5008,4.8047,,3.0,200000000.0,309.9043687184,0.0,0.0,0.0
36.0,163.8543,199.9954,,3.0,250000000.0,1000000000.0,0.0,0.0,0.0
36.0,163.8543,199.9954,,3.0,300000000.0,1000000000.0,0.0,0.0,0.0
36.0,163.8543,199.9954,,3.0,350000000.0,1000000000.0,0.0,0.0,0.0
36.0,163.8543,199.9954,,3.0,400000000.0,1000000000.0,0.0,0.0,0.0
36.0,163.8543,199.9954,,3.0,450000000.0,1000000000.0,0.0,0.0,0.0
36.0,163.8543,199.9954,,3.0,500000000.0,1000000000.0,0.0,0.0,0.0
36.0,163.8543,199.9954,,3.0,550000000.0,1000000000.0,0.0,0.0,0.0
36.0,163.8543,199.9954,,3.0,600000000.0,1000000000.0,0.0,0.0,0.0
36.0,163.8543,199.9954,,3.0,650000000.0,1000000000.0,0.0,0.0,0.0
36.0,163.8543,199.9954,,3.0,700000000.0,1000000000.0,0.0,0.0,0.0
36.0,163.8543,199.9954,,3.0,750000000.0,1000000000.0,0.0,0.0,0.0
36.0,10.0549,34.6122,,3.0,800000000.0,4.882479181490002e-25,9.3,8.4,14.0
36.0,11.0115,40.5843,,3.0,850000000.0,1.1512248245000002e-12,9.2,8.4,1.14
