D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],x'_2/x'_1 [mrad/mrad],y'_2/y'_1 [mrad/mrad],x_2/x_1 [mm/mm],y_2/y_1 [mm/mm],x_2 of initial x angle [mm],y_2 of initial y angle [mm]
35.0,2.5001,4.8058,,2.0,200000000.0,99.34004928640002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.5001,4.8058,,2.0,250000000.0,23.0012600996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.5002,4.8058,,2.0,300000000.0,5.014905080399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.5001,4.8058,,2.0,350000000.0,0.6248857185000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.6922,5.0926,,2.0,400000000.0,2.286655796e-17,9.7,8.2,-0.35912,-0.29422,-2.7847,-3.3988,2.329e-09,-4.1764e-09
35.0,3.9936,5.1925,,3.0,450000000.0,7.918767418e-19,9.7,8.2,-0.21363,-0.18594,-4.681,-5.3781,-1.5273e-10,-8.7667e-10
35.0,4.6265,8.7372,,3.0,500000000.0,5.568082592000001e-15,9.7,8.3,-0.2516,-0.17945,-3.9746,-5.5727,-5.2804e-08,-5.2724e-08
35.0,5.408,12.398,,3.0,550000000.0,1.80795816884e-13,9.6,8.4,-0.29003,-0.17587,-3.4479,-5.6861,-4.2281e-07,4.5028e-08
35.0,6.2773,16.2675,,3.0,600000000.0,1.822211089e-13,9.6,8.4,-0.3309,-0.17386,-3.022,-5.7515,3.5383e-07,-2.388e-07
35.0,7.2046,20.4036,,3.0,650000000.0,2.47966546e-08,9.6,8.5,-0.37561,-0.17289,-2.6627,-5.7858,-0.00011635,-0.00010611
35.0,8.1709,24.8547,,3.0,700000000.0,1.0864052653e-22,9.6,8.5,-0.42521,-0.17247,-2.3517,-5.798,8.3178e-12,-6.2813e-12
35.0,9.1587,29.6955,,3.0,750000000.0,7.900717225e-21,9.5,8.5,-0.48145,-0.1725,-2.0771,-5.7971,2.6125e-11,8.496e-11
35.0,10.1524,35.0185,,3.0,800000000.0,9.166513959999999e-11,9.5,8.6,-0.54623,-0.17275,-1.8307,-5.7885,4.3842e-06,8.5114e-06
35.0,11.1336,40.9673,,3.0,850000000.0,8.186092236999999e-23,9.5,8.6,-0.62258,-0.17307,-1.6062,-5.7781,-2.3354e-12,-8.7411e-12
35.0,12.0779,47.7772,,3.0,900000000.0,1.8668101796e-10,9.4,8.6,-0.71541,-0.17324,-1.3978,-5.772,-5.0086e-06,1.2712e-05
35.0,12.9474,55.8872,,3.0,950000000.0,1.4586061489e-14,9.4,8.6,-0.83395,-0.17304,-1.1991,-5.7791,-1.1388e-07,-4.0217e-08
35.0,17.1918,49.0357,,2.0,1000000000.0,0.8916827690000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5001,4.8058,,2.0,200000000.0,95.3165605981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5001,4.8058,,2.0,250000000.0,21.9184945769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5002,4.8058,,2.0,300000000.0,4.695046283599999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5001,4.8058,,2.0,350000000.0,0.5478077539999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.614,5.53,,2.0,400000000.0,2.5969164029000002e-18,10.0,8.4,-0.36275,-0.28177,-2.7568,-3.5491,1.3705e-09,-8.4773e-10
34.0,3.9335,5.6387,,3.0,450000000.0,4.2999695649999996e-21,10.0,8.5,-0.2158,-0.17883,-4.6338,-5.592,6.2598e-11,1.9531e-11
34.0,4.622,9.138,,3.0,500000000.0,2.90232171956e-21,9.9,8.6,-0.25284,-0.17345,-3.955,-5.7654,5.3782e-11,3.1334e-12
34.0,5.4409,12.7793,,3.0,550000000.0,4.703322125e-17,9.9,8.6,-0.29083,-0.17051,-3.4384,-5.8647,6.2995e-09,-2.711e-09
34.0,6.3406,16.6375,,3.0,600000000.0,3.119368768e-11,9.9,8.7,-0.33146,-0.16896,-3.0168,-5.9185,1.8688e-06,-5.2632e-06
34.0,7.295,20.7629,,3.0,650000000.0,9.920972965e-13,9.8,8.7,-0.37598,-0.16829,-2.6597,-5.9422,6.4591e-07,-7.5822e-07
34.0,8.2856,25.2091,,3.0,700000000.0,9.816239392000002e-09,9.8,8.7,-0.42567,-0.16821,-2.3495,-5.946,-7.4004e-05,-6.5876e-05
34.0,9.2974,30.0378,,3.0,750000000.0,8.323808948e-11,9.8,8.8,-0.48182,-0.16846,-2.0755,-5.9363,4.8538e-06,-7.7252e-06
34.0,10.3139,35.3473,,3.0,800000000.0,1.5626656900000004e-11,9.7,8.8,-0.5466,-0.16892,-1.8295,-5.92,-1.9221e-06,3.4543e-06
34.0,11.3176,41.2774,,3.0,850000000.0,4.019825185000001e-13,9.7,8.8,-0.62288,-0.16942,-1.6054,-5.9022,5.0063e-07,-3.8904e-07
34.0,12.2852,48.0604,,3.0,900000000.0,6.5042888000000015e-22,9.7,8.9,-0.71552,-0.1698,-1.3976,-5.8893,-1.3016e-11,2.1932e-11
34.0,13.1779,56.1287,,3.0,950000000.0,4.638066382899999e-14,9.7,8.9,-0.83364,-0.16978,-1.1996,-5.8899,1.9601e-07,8.9223e-08
34.0,17.1854,49.8173,,2.0,1000000000.0,0.8968627993960002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5005,4.8059,,2.0,200000000.0,103.37654647840002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5001,4.8058,,2.0,250000000.0,24.0884343281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5002,4.8058,,2.0,300000000.0,5.339106534400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5001,4.8058,,2.0,350000000.0,0.7055756353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.7315,4.8001,,2.0,400000000.0,7.787865681999999e-05,9.5,8.0,-0.36435,-0.3075,-2.7947,-3.2791,-0.0083629,-0.0028179
36.0,4.0418,4.8001,,3.0,450000000.0,4.24340518484e-05,9.4,8.0,-0.21472,-0.19271,-4.7201,-5.1821,-0.0064922,0.00053422
36.0,4.6419,8.3278,,3.0,500000000.0,3.4325549609e-18,9.4,8.1,-0.25024,-0.18569,-3.9962,-5.3854,-1.8154e-09,3.6997e-10
36.0,5.3836,12.0123,,3.0,550000000.0,1.3419773520110014e-13,9.4,8.2,-0.28921,-0.18139,-3.4577,-5.5131,3.6633e-07,2.5749e-10
36.0,6.2217,15.8944,,3.0,600000000.0,6.5935036129e-14,9.4,8.2,-0.33036,-0.1789,-3.027,-5.5897,-2.5558e-07,-2.4777e-08
36.0,7.1219,20.0392,,3.0,650000000.0,7.231609633000001e-09,9.3,8.3,-0.3752,-0.17753,-2.6655,-5.6335,-6.2737e-05,-5.7408e-05
36.0,8.063,24.5005,,3.0,700000000.0,9.315283042e-21,9.3,8.3,-0.42492,-0.17684,-2.3533,-5.6547,-7.2729e-11,-6.3449e-11
36.0,9.0273,29.3516,,3.0,750000000.0,4.048670837e-11,9.3,8.3,-0.48121,-0.17662,-2.0781,-5.6618,3.5014e-06,-5.3129e-06
36.0,9.9977,34.6888,,3.0,800000000.0,3.2806934869e-12,9.3,8.4,-0.54607,-0.17665,-1.8313,-5.6608,-8.7063e-07,1.5883e-06
36.0,10.9564,40.6559,,3.0,850000000.0,2.0353100700999998e-10,9.2,8.4,-0.62251,-0.17676,-1.6064,-5.6574,6.0651e-06,-1.2913e-05
36.0,11.8785,47.4924,,3.0,900000000.0,6.075303757000001e-23,9.2,8.4,-0.71553,-0.17674,-1.3976,-5.6578,1.9794e-12,-7.5389e-12
36.0,12.724,55.6464,,3.0,950000000.0,3.0387185469e-26,9.2,8.4,-0.8346,-0.17633,-1.1982,-5.6711,1.7157e-13,3.0837e-14
36.0,17.2359,48.1252,,2.0,1000000000.0,0.886662674125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5001,4.8058,,2.0,200000000.0,91.2953886436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5002,4.8058,,2.0,250000000.0,20.8416013181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5002,4.8058,,2.0,300000000.0,4.379675131600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5001,4.8058,,2.0,350000000.0,0.4745969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5561,5.9402,,2.0,400000000.0,1.8353457460000002e-17,10.3,8.6,-0.36555,-0.27017,-2.7355,-3.7016,-1.0961e-09,4.1415e-09
33.0,3.8905,6.0659,,3.0,450000000.0,4.655177488900001e-20,10.2,8.7,-0.2177,-0.17212,-4.5934,-5.81,-1.952e-10,-9.1917e-11
33.0,4.6289,9.5296,,3.0,500000000.0,4.747598676916e-14,10.2,8.8,-0.25398,-0.16768,-3.9373,-5.9636,7.8054e-09,-2.1775e-07
33.0,5.4829,13.1556,,3.0,550000000.0,1.8128840756e-12,10.2,8.8,-0.29161,-0.16532,-3.4292,-6.0487,-1.1516e-07,-1.3415e-06
33.0,6.4122,17.0045,,3.0,600000000.0,2.904710621000001e-15,10.1,8.9,-0.33206,-0.16418,-3.0114,-6.0907,4.877e-08,2.2939e-08
33.0,7.3931,21.1225,,3.0,650000000.0,1.083079405e-09,10.1,8.9,-0.37652,-0.16383,-2.656,-6.104,-2.9197e-05,-1.5186e-05
33.0,8.4089,25.5579,,3.0,700000000.0,3.92092065e-24,10.1,9.0,-0.42611,-0.164,-2.3468,-6.0978,1.9671e-12,2.268e-13
33.0,9.4441,30.3773,,3.0,750000000.0,6.431911531600002e-22,10.0,9.0,-0.48232,-0.16449,-2.0733,-6.0795,-3.7596e-12,2.5081e-11
33.0,10.4835,35.6734,,3.0,800000000.0,2.834090621e-11,10.0,9.0,-0.5471,-0.16516,-1.8278,-6.0549,2.5765e-06,-4.6586e-06
33.0,11.5098,41.5855,,3.0,850000000.0,3.7268906276e-12,10.0,9.1,-0.62336,-0.16584,-1.6042,-6.0296,-8.6576e-07,1.7255e-06
33.0,12.4999,48.3424,,3.0,900000000.0,1.1233063010000003e-17,10.0,9.1,-0.71587,-0.1664,-1.3969,-6.0096,3.085e-09,1.3099e-09
33.0,13.4165,56.3685,,3.0,950000000.0,3.365662525e-11,9.9,9.1,-0.83361,-0.16657,-1.1996,-6.0034,1.9525e-06,-5.463e-06
33.0,17.2494,50.4897,,2.0,1000000000.0,0.9022093364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2.5002,4.8059,,2.0,200000000.0,5.137371827600003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2.5001,4.8057,,2.0,250000000.0,0.1780144897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,3.4895,5.921,,3.0,300000000.0,9.918255874e-13,31.0,36.7,-0.18618,-0.04666,-5.3708,-21.434,3.9535e-07,-9.1407e-07
5.0,5.1266,8.6946,,3.0,350000000.0,9.26644772e-13,26.8,37.3,-0.21885,-0.04997,-4.5691,-20.013,1.1558e-07,9.5566e-07
5.0,6.8089,11.6131,,3.0,400000000.0,4.404784201000001e-13,23.5,35.3,-0.25447,-0.05344,-3.9294,-18.713,-1.6224e-07,6.4355e-07
5.0,8.5207,14.6835,,3.0,450000000.0,2.56809809609e-13,20.7,33.0,-0.29324,-0.05701,-3.4101,-17.539,5.015e-07,7.2853e-08
5.0,10.2507,17.9185,,3.0,500000000.0,8.902121569999998e-10,18.5,31.0,-0.3354,-0.06065,-2.9814,-16.486,2.7646e-05,1.1221e-05
5.0,11.9903,21.3372,,3.0,550000000.0,9.435474320000001e-20,16.6,29.2,-0.38141,-0.06434,-2.6218,-15.543,-9.794e-11,2.9114e-10
5.0,13.7318,24.9646,,3.0,600000000.0,1.0544133279999998e-08,15.0,27.6,-0.43185,-0.06805,-2.3157,-14.698,-9.5564e-05,-3.7572e-05
5.0,15.4683,28.8311,,3.0,650000000.0,2.794535677000001e-17,13.6,26.2,-0.48729,-0.07173,-2.0522,-13.941,2.0754e-09,-4.8619e-09
5.0,17.1928,32.9807,,3.0,700000000.0,2.192605505e-09,12.4,24.9,-0.54882,-0.07539,-1.822,-13.262,4.3649e-05,1.6952e-05
5.0,18.8986,37.4714,,3.0,750000000.0,2.8218353770000003e-09,11.3,23.8,-0.61788,-0.07902,-1.6185,-12.655,-4.9689e-05,-1.8784e-05
5.0,20.5768,42.3793,,3.0,800000000.0,2.3876609249000002e-18,10.4,22.8,-0.69613,-0.08256,-1.4365,-12.112,-2.8657e-10,1.5184e-09
5.0,22.2169,47.8205,,3.0,850000000.0,8.056625230400002e-12,9.5,21.8,-0.7865,-0.08598,-1.2714,-11.63,2.7338e-06,7.6352e-07
