# units are Tesla, degrees, mm and s
#
# Local coordinate system origin: x0=218.0, y0=24.0, z0=60.0
#
# Scanned matrices:
# 1
#
# Gaussmeter filter = 0
#
# mag ang	probe ang	x glob	y glob	z glob	x local	y local	z local	X Bfield		Y Bfield	Z Bfield	V Bfield	time			range
0	0	222.0	16.0	10.0	4.0	-8.0	-50.0	0.010405	-0.004973	-0.04526	0.0467	27	20210930	141118	aaa	
0	0	222.0	16.0	20.0	4.0	-8.0	-40.0	0.014946	-0.008034	-0.05987	0.06223	36	20210930	141128	aaa	
0	0	222.0	16.0	30.0	4.0	-8.0	-30.0	0.021806	-0.013373	-0.07949	0.0835	46	20210930	141138	aaa	
0	0	222.0	16.0	40.0	4.0	-8.0	-20.0	0.03228	-0.02293	-0.10491	0.11213	56	20210930	141148	aaa	
0	0	222.0	16.0	50.0	4.0	-8.0	-10.0	0.04931	-0.04022	-0.13539	0.1496	66	20210930	141158	aaa	
0	0	222.0	16.0	60.0	4.0	-8.0	0.0	0.08555	-0.07157	-0.16866	0.20221	76	20210930	141208	aaa	
0	0	222.0	16.0	70.0	4.0	-8.0	10.0	0.19765	-0.1404	-0.20921	0.32024	86	20210930	141218	aaa	
0	0	222.0	16.0	80.0	4.0	-8.0	20.0	0.363	-0.26009	-0.185	0.4833	96	20210930	141228	aaa	
0	0	222.0	16.0	90.0	4.0	-8.0	30.0	0.4084	-0.3051	-0.11356	0.5222	106	20210930	141238	aaa	
0	0	222.0	16.0	100.0	4.0	-8.0	40.0	0.4321	-0.3217	-0.07725	0.5443	116	20210930	141247	aaa	
0	0	222.0	16.0	110.0	4.0	-8.0	50.0	0.4488	-0.3372	-0.0345	0.5625	126	20210930	141257	aaa	
0	0	222.0	16.0	120.0	4.0	-8.0	60.0	0.442	-0.331	-0.014604	0.5524	136	20210930	141307	aaa	
0	0	222.0	16.0	130.0	4.0	-8.0	70.0	0.4388	-0.3255	0.006803	0.5464	145	20210930	141317	aaa	
0	0	222.0	16.0	140.0	4.0	-8.0	80.0	0.4381	-0.3314	0.0364	0.5505	155	20210930	141327	aaa	
0	0	222.0	16.0	150.0	4.0	-8.0	90.0	0.4228	-0.308	0.08267	0.5296	165	20210930	141337	aaa	
0	0	222.0	16.0	160.0	4.0	-8.0	100.0	0.405	-0.2921	0.12471	0.5146	175	20210930	141346	aaa	
