D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],x'_2/x'_1 [mrad/mrad],y'_2/y'_1 [mrad/mrad],x_2/x_1 [mm/mm],y_2/y_1 [mm/mm],x_2 of initial x angle [mm],y_2 of initial y angle [mm]
35.0,2.5001,4.8058,,2.0,200000000.0,99.34004928640002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.5001,4.8058,,2.0,250000000.0,23.0012600996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.5002,4.8058,,2.0,300000000.0,5.014905080399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.5001,4.8058,,2.0,350000000.0,0.6248857185000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.6922,5.0926,,2.0,400000000.0,2.286655796e-17,9.7,8.2,-0.35912,-0.29422,-2.7847,-3.3988,2.329e-09,-4.1764e-09
35.0,3.0022,9.7549,,2.0,450000000.0,6.067937930000001e-21,9.7,8.2,-0.45344,-0.27622,-2.20529,-3.6203,-7.6519e-11,1.4587e-11
35.0,3.4831,14.8785,,2.0,500000000.0,1.34404354825e-21,9.7,8.3,-0.55682,-0.26526,-1.7959,-3.7701,-5.3685e-12,-3.6266e-11
35.0,3.9951,20.926,,2.0,550000000.0,7.5684476456e-14,9.6,8.4,-0.68445,-0.25681,-1.461,-3.8939,2.5805e-07,-9.5366e-08
35.0,4.435,28.6273,,2.0,600000000.0,3.68813929e-26,9.6,8.4,-0.86148,-0.24866,-1.1608,-4.02149,-1.6148e-13,-1.0395e-13
35.0,4.5728,40.4464,,2.0,650000000.0,3.34243336401e-13,9.6,8.5,-1.17636,-0.23735,-0.85007,-4.2131,-5.7426e-07,6.6849e-08
35.0,4.7165,55.6026,,2.0,700000000.0,0.01246537303184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,6.4915,54.5388,,2.0,750000000.0,0.087124013401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,8.4081,53.2967,,2.0,800000000.0,0.206695235636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,10.4471,52.1665,,2.0,850000000.0,0.354952015025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,12.595,51.0976,,2.0,900000000.0,0.522200010209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,14.916,49.8817,,2.0,950000000.0,0.7024366122010001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,17.1918,49.0357,,2.0,1000000000.0,0.8916827690000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5001,4.8058,,2.0,200000000.0,95.3165605981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5001,4.8058,,2.0,250000000.0,21.9184945769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5002,4.8058,,2.0,300000000.0,4.695046283599999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5001,4.8058,,2.0,350000000.0,0.5478077539999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.614,5.53,,2.0,400000000.0,2.5969164029000002e-18,10.0,8.4,-0.36275,-0.28177,-2.7568,-3.5491,1.3705e-09,-8.4773e-10
34.0,3.003,10.0978,,2.0,450000000.0,1.7811828879999997e-17,10.0,8.5,-0.45351,-0.26655,-2.205,-3.7516,3.9038e-09,-1.6038e-09
34.0,3.5305,15.1753,,2.0,500000000.0,3.2731788916e-24,9.9,8.6,-0.55474,-0.257,-1.8027,-3.8911,-1.5166e-12,9.8646e-13
34.0,4.0805,21.178,,2.0,550000000.0,5.895467207999999e-23,9.9,8.6,-0.68025,-0.24958,-1.47,-4.0069,-7.5978e-12,1.1082e-12
34.0,4.5595,28.8005,,2.0,600000000.0,2.415948825600001e-22,9.9,8.7,-0.8539,-0.24233,-1.1711,-4.12669,1.548e-11,1.4016e-12
34.0,4.7535,40.3464,,2.0,650000000.0,9.749741213e-11,9.8,8.7,-1.15761,-0.23216,-0.86384,-4.3075,-1.4182e-06,-9.7717e-06
34.0,4.8398,56.2913,,2.0,700000000.0,0.01083845457401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,6.6277,55.1862,,2.0,750000000.0,0.0837392885809999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,8.5262,53.9987,,2.0,800000000.0,0.203091472841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,10.5719,52.8209,,2.0,850000000.0,0.352362753341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,12.6842,51.8151,,2.0,900000000.0,0.521559155729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,14.9123,50.7414,,2.0,950000000.0,0.704435198161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,17.1854,49.8173,,2.0,1000000000.0,0.8968627993960002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5005,4.8059,,2.0,200000000.0,103.37654647840002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5001,4.8058,,2.0,250000000.0,24.0884343281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5002,4.8058,,2.0,300000000.0,5.339106534400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5001,4.8058,,2.0,350000000.0,0.7055756353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.7315,4.8001,,2.0,400000000.0,7.787865681999999e-05,9.5,8.0,-0.36435,-0.3075,-2.7947,-3.2791,-0.0083629,-0.0028179
36.0,3.0105,9.4046,,2.0,450000000.0,1.6631508596000003e-20,9.4,8.0,-0.45317,-0.28628,-2.2066,-3.4931,1.2764e-11,-1.2833e-10
36.0,3.4423,14.5805,,2.0,500000000.0,5.870195522e-19,9.4,8.1,-0.55896,-0.27374,-1.789,-3.6533,-1.1369e-10,-7.5769e-10
36.0,3.9145,20.6778,,2.0,550000000.0,6.60085642e-15,9.4,8.2,-0.68896,-0.2642,-1.4515,-3.785,-4.4742e-08,-6.7816e-08
36.0,4.3148,28.4627,,2.0,600000000.0,4.281603493e-11,9.4,8.2,-0.86966,-0.25511,-1.14989,-3.9201,1.8303e-06,-6.2822e-06
36.0,4.3929,40.5845,,2.0,650000000.0,1.9865976804e-12,9.3,8.3,-1.19715,-0.24255,-0.83532,-4.12289,1.3776e-06,-2.9802e-07
36.0,4.5876,55.0551,,2.0,700000000.0,0.01422916856689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,6.3735,53.8626,,2.0,750000000.0,0.090641407336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,8.3175,52.5157,,2.0,800000000.0,0.210443167796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,10.3484,51.4503,,2.0,850000000.0,0.357696049429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,12.5261,50.3372,,2.0,900000000.0,0.523011411749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,14.8137,49.1997,,2.0,950000000.0,0.700550282664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,17.2359,48.1252,,2.0,1000000000.0,0.886662674125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5001,4.8058,,2.0,200000000.0,91.2953886436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5002,4.8058,,2.0,250000000.0,20.8416013181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5002,4.8058,,2.0,300000000.0,4.379675131600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5001,4.8058,,2.0,350000000.0,0.4745969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5561,5.9402,,2.0,400000000.0,1.8353457460000002e-17,10.3,8.6,-0.36555,-0.27017,-2.7355,-3.7016,-1.0961e-09,4.1415e-09
33.0,3.0133,10.4335,,2.0,450000000.0,3.600983489000001e-17,10.2,8.7,-0.45337,-0.25726,-2.2057,-3.8872,-2.5808e-09,5.4175e-09
33.0,3.5838,15.4721,,2.0,500000000.0,5.990450818899999e-20,10.2,8.8,-0.55274,-0.24898,-1.8092,-4.0166,5.8133e-11,-2.3775e-10
33.0,4.1716,21.4323,,2.0,550000000.0,4.470676884e-23,10.2,8.8,-0.6763,-0.24249,-1.4786,-4.1241,-6.5772e-12,1.203e-12
33.0,4.6888,28.9808,,2.0,600000000.0,6.232644218000001e-23,10.1,8.9,-0.84683,-0.23608,-1.1809,-4.2359,-3.2287e-12,7.2043e-12
33.0,4.9366,40.2786,,2.0,650000000.0,7.03116772e-12,10.1,8.9,-1.1406,-0.22696,-0.87674,-4.4059,-2.5816e-06,-6.054e-07
33.0,4.9777,56.9782,,2.0,700000000.0,0.00934815422216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,6.7666,55.8378,,2.0,750000000.0,0.0804833862759999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,8.658,54.6969,,2.0,800000000.0,0.199605658356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,10.6727,53.6188,,2.0,850000000.0,0.349885803125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,12.7887,52.5553,,2.0,900000000.0,0.521059523524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,14.9696,51.5591,,2.0,950000000.0,0.7066078121249999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,17.2494,50.4897,,2.0,1000000000.0,0.9022093364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2.5002,4.8059,,2.0,200000000.0,5.137371827600003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2.5001,4.8057,,2.0,250000000.0,0.1780144897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,3.3367,7.0969,,2.0,300000000.0,2.200022090100001e-12,29.9,36.7,-0.31546,-0.07083,-3.1699,-14.119,2.0001e-07,1.4697e-06
5.0,4.9231,10.4036,,2.0,350000000.0,2.679358630689e-14,25.6,37.3,-0.38005,-0.07574,-2.6312,-13.203,-1.5633e-09,-1.6368e-07
5.0,6.5357,14.0361,,2.0,400000000.0,5.5627436050000025e-09,22.1,35.7,-0.45472,-0.0808,-2.19899,-12.373,6.2554e-05,4.0617e-05
5.0,8.153,18.0679,,2.0,450000000.0,1.256759797e-13,19.2,33.5,-0.54213,-0.08594,-1.8446,-11.636,1.5606e-07,-3.1831e-07
5.0,9.7538,22.6126,,2.0,500000000.0,2.11919909e-09,16.8,31.6,-0.64614,-0.09098,-1.5476,-10.99,3.8711e-05,2.4913e-05
5.0,11.3142,27.8672,,2.0,550000000.0,4.710819665e-09,14.7,29.9,-0.7739,-0.09588,-1.2921,-10.433,-6.1708e-05,-3.0049e-05
5.0,12.7998,34.1884,,2.0,600000000.0,1.297019113e-09,12.9,28.5,-0.9385,-0.10034,-1.06549,-9.96679,-3.3132e-05,-1.4117e-05
5.0,14.1437,42.4133,,2.0,650000000.0,2.8636171460000006e-09,11.2,27.3,-1.17201,-0.10408,-0.85322,-9.6097,-4.8761e-05,-2.2045e-05
5.0,15.1084,55.9681,,2.0,700000000.0,2.4008425424000003e-26,9.2,26.5,-1.612,-0.10574,-0.62033,-9.4574,-1.3748e-13,-7.1468e-14
5.0,16.6348,59.9937,,2.0,750000000.0,0.048760033736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,18.6125,59.9998,,2.0,800000000.0,0.2062902483489999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,20.2995,59.9987,,2.0,850000000.0,0.4385784562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,21.7691,59.9976,,2.0,900000000.0,0.7180827701000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,23.1556,59.9985,,2.0,950000000.0,1.0250107178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,24.396,59.9765,,2.0,1000000000.0,1.3451308360999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.5002,4.8058,,2.0,200000000.0,9.887603536100002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.5001,4.8056,,2.0,250000000.0,0.891373361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.5001,6.4252,,2.0,300000000.0,0.0003963706399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,3.8657,9.8303,,2.0,350000000.0,1.2941146932401002e-15,27.7,27.4,-0.35362,-0.08935,-2.8278,-11.192,-5.8799e-10,-3.5969e-08
