D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
0.7,2.51,4.81,,1.2,200000000.0,0.9809077384,28.95920613162924,65.58332726080303,0.8412708320329568
0.8,32.32,35.03,,1.2,990000000.0,2.035668892725232e-25,9.778994719342853,20.596379614161155,5.994845159526692
0.8,23.38,24.88,,0.9,760000000.0,2.890640003462604e-07,12.464683397041714,25.89257458499957,5.898628795298726
0.8,22.99,24.42,,0.9,750000000.0,6.507960540622224e-08,12.618827290317151,26.187150837988828,5.888756927949326
0.8,22.61,23.99,,0.9,740000000.0,2.045278926223521e-07,12.770304784607523,26.484609499146607,5.886947378961599
0.8,22.22,23.55,,0.9,730000000.0,3.219806070200789e-07,12.92880537838304,26.78651150331855,5.883097806817607
0.8,21.83,23.1,,0.9,720000000.0,1.2534755212044756e-07,13.091289928434282,27.10190315586605,5.874519846350832
0.8,21.44,22.67,,0.9,710000000.0,3.62301693513192e-07,13.25556733828208,27.422303473491773,5.870951023581238
0.8,21.04,22.22,,0.9,700000000.0,5.659548908163265e-07,13.433637829124129,27.76064157927205,5.84981684981685
0.8,23.76,25.31,,0.9,770000000.0,1.705790339163434e-07,12.323365100230037,25.614754098360656,5.895016932752782
0.8,20.66,21.77,,0.9,690000000.0,6.0935289021004e-07,13.606676342525398,28.08901095471428,5.848876642645188
0.8,19.88,20.91,,0.9,670000000.0,3.434314479839608e-07,13.966480446927374,28.790786948176585,5.836816676619074
0.8,19.49,20.45,,0.9,660000000.0,8.518872033976124e-07,14.161631419939578,29.153574552168703,5.82171478757273
0.8,19.12,20.03,,0.9,650000000.0,6.818959474556211e-07,14.344458257626467,29.50722927117144,5.835330843413791
0.8,18.72,19.58,,0.9,640000000.0,7.527747404785157e-07,14.55462837182224,29.90331262252052,5.8065605131379066
0.8,18.34,19.15,,0.9,630000000.0,3.196632659133283e-07,14.752163650668766,30.28773346794548,5.809931506849315
0.8,17.94,18.71,,0.9,620000000.0,4.363029004916753e-07,14.96856601137611,30.69263035842172,5.792633645075625
0.8,17.56,18.26,,0.9,610000000.0,1.0091572912926633e-07,15.183569353483618,31.09345310070824,5.792096018735363
0.8,20.27,21.34,,0.9,680000000.0,1.9537195696366786e-07,13.785497656465395,28.436917438149703,5.840660518979198
0.8,24.54,26.18,,0.9,790000000.0,2.465091877904182e-07,12.039489525644113,25.059167478769314,5.905862297566058
0.8,24.94,26.64,,0.9,800000000.0,3.061970578125e-07,11.897208121827411,24.78382992785152,5.920157620678332
0.8,25.32,27.08,,0.9,810000000.0,1.6560957963725046e-07,11.763783232687633,24.523828987165864,5.923055503991089
0.8,31.93,34.59,,1.2,980000000.0,7.148328904623073e-15,9.87166831194472,20.781379883624272,5.991253644314869
0.8,31.54,34.15,,1.2,970000000.0,1.485452439579126e-14,9.966115208291807,20.96973368438221,5.987835903959294
0.8,31.15,33.7,,1.2,960000000.0,1.8818683892035587e-11,10.062386798148522,21.162030614404287,5.984116160603265
0.8,30.77,33.26,,1.2,950000000.0,7.587773864265926e-24,10.16053647632595,21.35738016136688,5.980328665101595
0.8,30.38,32.82,,1.2,940000000.0,1.3986624943413308e-10,10.260619741432382,21.55636990730761,5.976471549364815
