E [MeV], D1 [cm], D4 [cm], D2 [cm], D3 [cm], L_tot [m], x_acc [mrad], y_acc [mrad], x_2/x'_1 [mm/mrad], y_2/y'_1 [mm/mrad], x_2/x_1 [mm], y_2/y_1 [mm], x'_2/x'_1 [mrad/mrad], y'_2/y'_1 [mrad/mrad] 
200.0,4.0,0.0,0.8254320258007647,0.21265972205137415,1.3068209174785215,41.666666666666664,39.88194942968812,0.35086,0.10933999999999999,1170.3916205217158,364.7341383681366,-2.8714e-10,1.1544e-10
200.0,4.0,100.0,0.43390404496040597,2.4266253243068725,1.3250452936926729,39.46745250749881,39.900590528739826,-3.3575e-11,7.246e-12,-1.1199506321091431e-07,2.4170252510090396e-08,-0.38033500000000003,-0.08753999999999999
200.0,4.0,100.0,1.1943285991628536,0.206016754980251,1.310443453541431,41.15226337448559,39.87422530076558,0.35533,1.7401e-11,1185.2630174455453,5.804396410820909e-08,-5.8180000000000006e-11,-0.10200000000000001
200.0,4.0,100.0,0.15934851474362222,2.431937158040586,1.322352856727842,39.85545754065257,39.92471339759311,-3.5901e-12,0.09476,-1.1975382767937557e-08,316.08792821641816,-0.37664000000000003,7.0295e-13
600.0,10.0,0.0,11.829674219618461,16.522447638558972,2.6399612185817745,19.484062037253526,23.297954957287082,0.7708800000000001,0.23285999999999998,2571.3742482312796,776.7359478039847,7.8615e-12,-2.0010000000000004e-11
600.0,10.0,200.0,11.117527649703094,25.43694413257316,2.7219847178227625,16.374294540810197,23.834114562643997,1.9062e-10,-3.3722e-10,6.358450915640949e-07,-1.124854064511825e-06,-0.4571,-0.089285
600.0,10.0,200.0,13.013876059157553,16.43935396614301,2.650972300253006,19.085426368425072,22.44668911335578,0.78697,-4.3262e-10,2625.070882951399,-1.4430768204409755e-06,3.654166666666666e-10,-0.11037000000000001
600.0,10.0,200.0,10.327824030195115,25.49656745181877,2.7146839148201387,16.60816900472779,24.255024255024253,1.8535e-11,0.19286,6.182661196170654e-08,643.3169885586578,-0.45071666666666665,-7.738e-11
1000.0,20.0,0.0,21.474480521042448,32.35403221371048,2.9947251273475293,13.015184381778742,14.001680201624195,1.1534333333333333,0.3883666666666667,3847.34267289304,1295.4191683344452,1.7453333333333337e-08,7.591833333333335e-09
1000.0,20.0,200.0,19.255292533357522,60.25325476394596,3.251525472973035,9.39261114589856,14.278138130787745,1.5463e-10,-2.905e-10,5.157943894059174e-07,-9.69011641482371e-07,-0.7939200000000001,-0.12232000000000001
1000.0,20.0,200.0,24.512956575829662,32.15040600673017,3.0230736258255986,12.63477088948787,13.145210761545876,1.1881,3.0609e-08,3963.107508589346,0.0001021014710297208,-1.5642e-08,-0.18108000000000002
1000.0,20.0,200.0,17.78801194970414,60.362988042723245,3.2379499999242736,9.533494343460024,14.278138130787745,9.4797e-05,0.27958,0.3162113479435605,932.5861436338771,-0.78219,-7.7893e-06
