,setup 1,setup 2,setup 3,setup 4,setup 5,setup 6,setup 7,setup 8,setup 9,setup 10,setup 11,setup 12,setup 13,setup 14,setup 15
D1 [m],0.05,0.06,0.07,0.08,0.09,0.1,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
D2 [m],0.305197,0.298321,0.291773,0.285534,0.279588,0.273918,0.357306,0.348828,0.340753,0.333058,0.325719,0.318718,0.312035,0.305653,0.299557
D3 [m],0.296942,0.295902,0.294726,0.293415,0.291972,0.290399,0.320184,0.319726,0.319131,0.3184,0.317534,0.316535,0.315404,0.314143,0.312754
Pz [eV],9.5E+8,9.5E+8,9.5E+8,9.5E+8,9.5E+8,9.5E+8,1.0E+9,1.0E+9,1.0E+9,1.0E+9,1.0E+9,1.0E+9,1.0E+9,1.0E+9,1.0E+9
F_ana [mrad],0.0016703668225191894,0.0036885374245641013,0.0006355681483052515,0.0025605552996442564,0.0007923673488429879,0.0025754409568267784,0.003529774118835368,0.0022782936779309204,0.0017610035122054698,0.0032799573731986218,0.0036441614947748955,0.0028864765961289208,0.0032997627263183634,0.003552267580011393,0.0020118319428819097
F_num [mrad],0.024865296379356534,0.002031648324422173,0.005020201738350723,0.004033121009192787,0.03516170480458169,0.03955346748158971,0.2750153137554343,0.24033058981328198,0.2127505642765725,0.1790626452976723,0.15669328313938669,0.12423294563440086,0.09727174998939826,0.069685262789201,0.049485956846361985
Delta D2 [mm],6.1560847209700125,0.8762847030886478,0.33492367854059957,0.4930957840158512,3.6935730828258073,4.4609689870057645,59.36431250950586,49.75617131529558,41.31037906964219,33.630003666427434,27.561970776703472,19.465706256508952,13.519843230989148,6.0088723969786155,1.059015729893975
Delta D3 [mm],2.6893823668800443,0.09110103207832232,1.581791906839547,1.0946804994944048,10.628460122866667,11.399624843244915,21.462376861381415,20.387670533843494,20.384024892257713,18.78413756974012,18.46568600737003,17.373897981882934,15.684709860943224,15.074607827351262,12.989461608396702
setup length [m],0.90467229764591,0.909255614264833,0.9112521317717011,0.9165367762835103,0.9106251129599591,0.9133783441437608,0.8626633106291127,0.8744101581508609,0.8841895960381,0.8950438587638324,0.9032253432159264,0.9144133957616081,0.9242344469080676,0.9347125197756702,0.9442625226617093
Angle accept. x [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angle accept. y [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beam size x [mm],0.12875,0.12941,0.12808,0.1239,0.13186,0.13101,0.16785,0.16451,0.16221,0.15681,0.15468,0.15192,0.14733,0.14486,0.14065
beam size y [mm],0.037076,0.030862,0.031162,0.030958,0.031855,0.031558,0.11075,0.10002,0.09121,0.081875,0.074717,0.064173,0.056675,0.046472,0.040061
number of func. evaluations [-],375,360,561,442,291,363,311,508,316,280,185,403,407,333,319
