,setup 1,setup 2,setup 3,setup 4,setup 5,setup 6,setup 7,setup 8,setup 9,setup 10,setup 11,setup 12,setup 13,setup 14,setup 15,setup 16
D1 [m],0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.01,0.02,0.03,0.04,0.05,0.06
D2 [m],0.211384,0.203611,0.196389,0.18967,0.183413,0.177582,0.172143,0.167068,0.16233,0.157907,0.232158,0.224247,0.21686,0.209954,0.203492,0.197441
D3 [m],0.177095,0.176462,0.175641,0.174636,0.173452,0.172091,0.170559,0.16886,0.167,0.164982,0.197481,0.19688,0.1961,0.195145,0.194018,0.192723
Pz [eV],6.5E+8,6.5E+8,6.5E+8,6.5E+8,6.5E+8,6.5E+8,6.5E+8,6.5E+8,6.5E+8,6.5E+8,7.0E+8,7.0E+8,7.0E+8,7.0E+8,7.0E+8,7.0E+8
F_ana [mrad],0.0013990923198726477,0.001812593486738182,0.0024491119329500526,0.004855254704803931,0.0013988313506122247,0.0019153120789477923,0.002837519993934198,0.0018221364158883683,0.0008459829708583078,0.0027756947848172247,0.00212521580700091,0.002041518212567524,0.002062718148710678,0.0008957849838907225,0.002195959990946268,0.002715450549454107
F_num [mrad],0.0017784607250463935,0.0010153154309343925,0.0013826768382573184,0.0030770449146647026,0.002367467260759741,0.0027215185738282788,0.004657816650820717,0.003711365984035477,0.0006860099707730202,0.0023592298336633797,0.004193342612951133,0.0010931044281386505,0.002823617126730773,0.006003482424767295,0.0054521664400493134,0.0031143999283119355
Delta D2 [mm],0.6569901835984382,0.05570962150902581,0.2672105969369343,0.5411192595135839,0.07053860832928471,0.7766192866842381,0.19809659609423824,0.3788788460921677,0.4135436145938365,0.4535717240378989,0.4439623423189154,0.024075601000594915,1.0714449807688042,0.899751596457582,1.1742037808061545,0.8373429084995998
Delta D3 [mm],0.709454354099831,0.27768715470202765,0.062139165439623056,0.1635732858914496,0.2151272638512558,0.4205256751681208,0.26861739858427547,0.4147866146957946,0.4014903708234596,0.737471541965462,0.6922056564366286,0.5812060500360594,0.901781287100778,0.5893780263340753,0.2687815983425379,0.4668334127466145
setup length [m],0.6545314641705013,0.656294977533193,0.6582350714314973,0.6606835459736221,0.663009588655522,0.6660290936115161,0.66863147919751,0.671134334539212,0.6753420532437704,0.6791728998179275,0.6945028320012444,0.6965698695509646,0.699129663693668,0.7007886264298765,0.7044154221824636,0.706534509495753
Angle accept. x [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angle accept. y [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beam size x [mm],0.10066,0.098136,0.094868,0.092605,0.089185,0.088239,0.086889,0.084457,0.082431,0.079978,0.10934,0.10506,0.10261,0.09829,0.097215,0.095235
beam size y [mm],0.019572,0.019892,0.021093,0.020643,0.021811,0.022263,0.022727,0.025849,0.025444,0.026713,0.02118,0.02185,0.021333,0.024505,0.021771,0.023366
number of func. evaluations [-],235,372,192,238,237,302,231,313,384,459,302,247,302,247,437,241
