Unnamed: 0,D1 [m],D2 [m],D3 [m],Pz [eV],F_ana [mrad],F_num [mrad],Delta D2 [mm],Delta D3 [mm],setup length [m],Angle accept. x [mrad],Angle accept. y [mrad],beam size x [mm],beam size y [mm],number of func. evaluations [-]
setup 5,0.05,0.031806,0.010756,250000000.0,0.0011940402506381,0.0018535788768757,0.2035033900671598,0.1456656578494621,0.3485041622677823,0.1,0.1,0.037907,0.013215,425.0
setup 6,0.06,0.029237,0.008785,250000000.0,0.0008602176887276,0.0061635919928561,0.4192376258339778,0.0184866670900063,0.353584275707076,0.1,0.1,0.037005,0.016456,435.0
setup 7,0.07,0.027124,0.006615,250000000.0,0.0063328013957805,0.0029681515813044,0.1404661890021044,0.0918876763495932,0.3599713538653517,0.1,0.1,0.033199,0.015872,429.0
setup 9,0.09,0.024073,0.001713,250000000.0,0.0006767479247105,0.0168154639551098,0.997998496675978,0.1588735917833301,0.3709468750951074,0.1,0.1,0.032566,0.023989,344.0
setup 8,0.08,0.025416,0.004255,250000000.0,0.0024869649901838,0.0130071204549508,0.4022981802105918,0.4031006226188445,0.3664763988028294,0.1,0.1,0.031807,0.012062,348.0
setup 4,0.04,0.034897,0.012513,250000000.0,0.0021346506168457,0.0006014847798706,0.1987597141267644,0.0899451263596078,0.3435188145877672,0.1,0.1,0.038961,0.012849,579.0
setup 2,0.02,0.043028,0.015318,250000000.0,0.0042057656526249,0.0022724059056462,0.0591787036061455,0.0753733505618678,0.334480552054168,0.1,0.1,0.042441,0.010753,425.0
setup 1,0.01,0.048333,0.016328,250000000.0,0.0016207882463739,0.0231654714400549,1.23785378638374,1.3825035400359849,0.3308056497536522,0.1,0.1,0.038855,0.014606,466.0
setup 3,0.03,0.0386,0.01404,250000000.0,0.0016151529068964,0.0016968283189527,0.1997793607479078,0.045790025761749,0.3384860106650138,0.1,0.1,0.041528,0.011353,612.0
setup 16,0.06,0.045828,0.028663,300000000.0,0.0048522173167417,0.0039611773740756,0.2516643349094391,0.4813593202940524,0.3907206949853846,0.1,0.1,0.041091,0.014308,440.0
setup 15,0.05,0.049046,0.030585,300000000.0,0.004011310411546,0.0285804467813612,1.3719681500941674,2.5354383976847403,0.3867944702475906,0.1,0.1,0.03385,0.017153,325.0
setup 14,0.04,0.052785,0.032289,300000000.0,0.0019295616854727,0.0470723479149088,3.143584133857749,0.1228421451452341,0.384340426279003,0.1,0.1,0.043212,-0.0035299,492.0
setup 13,0.03,0.057126,0.033762,300000000.0,0.0010407938033806,0.0059859739855394,0.4114680416019631,0.2091812011212057,0.3762673507572768,0.1,0.1,0.049115,0.014132,432.0
setup 12,0.02,0.062168,0.034986,300000000.0,0.0031869254319624,0.001144059805624,0.2252180234794815,0.1006478433753302,0.3730294298198958,0.1,0.1,0.050291,0.011893,562.0
setup 11,0.01,0.068039,0.035947,300000000.0,0.0038449015628202,0.0072496751344839,0.2686232905670521,0.3633906040977283,0.3698912326864693,0.1,0.1,0.054722,0.0094026,425.0
setup 17,0.07,0.043069,0.02654,300000000.0,0.0015414109341047,0.0029396595819546,0.110731857627222,0.0032751628113204,0.3957164566948159,0.1,0.1,0.039965,0.017501,416.0
setup 20,0.1,0.037078,0.019073,300000000.0,0.0027772933974565,0.0075906480472867,0.4540287748433166,0.5127883516366956,0.4122097595767934,0.1,0.1,0.035287,0.021721,445.0
setup 19,0.09,0.038731,0.021735,300000000.0,0.003296538276064,0.0024505405045508,0.20705712572152,0.2475633802543619,0.4065065062545329,0.1,0.1,0.037345,0.019018,501.0
setup 18,0.08,0.040717,0.024227,300000000.0,0.0030942317863692,0.0039496669479843,0.2743090823942862,0.0943851596918142,0.4007640760772974,0.1,0.1,0.038826,0.018817,420.0
setup 8,0.04,0.071369,0.052335,350000000.0,0.0031347620975383,0.0031347620975383,0.0175886458251561,0.0476130369404456,0.4196739756088847,0.1,0.1,0.051629,0.015893,393.0
setup 9,0.05,0.067088,0.050705,350000000.0,0.0023282604246299,0.0060122085384826,0.2762666752649384,0.4353072985161105,0.424504573973781,0.1,0.1,0.048391,0.014185,426.0
setup 22,0.02,0.081774,0.054896,350000000.0,0.004138653990103,0.0014667796857505,0.4530921381302039,0.2921412763774653,0.4128309508617528,0.1,0.1,0.056465,0.012583,485.0
setup 10,0.06,0.06332,0.048859,350000000.0,0.0041888000936413,0.0022498783671431,0.0622674289309232,0.2077685492932815,0.4280334988796376,0.1,0.1,0.048569,0.017212,512.0
setup 21,0.01,0.088091,0.055802,350000000.0,0.0042803317553094,0.0087873619825431,0.2150706385336265,0.6471732855515486,0.4103251026470179,0.1,0.1,0.056413,0.012796,234.0
setup 7,0.03,0.076236,0.053736,350000000.0,0.0027868364961594,0.0023445707991033,0.1660959770508063,0.0152896039458949,0.4157906144190032,0.1,0.1,0.054134,0.014745,484.0
setup 14,0.1,0.05236,0.039563,350000000.0,0.0047413298019239,0.0010825612822395,0.2296434599387553,0.0825096788519136,0.4480701337810868,0.1,0.1,0.042471,0.020223,660.0
setup 13,0.09,0.054564,0.042151,350000000.0,0.003896999855357,0.0015583458749689,0.1109898248561752,0.0156368693905728,0.4426196470445344,0.1,0.1,0.044589,0.019357,446.0
setup 12,0.08,0.057102,0.04457,350000000.0,0.0030644546265799,0.0019990030516541,0.3359840952240692,0.3119868714546378,0.4376480027762305,0.1,0.1,0.04465,0.018332,410.0
setup 11,0.07,0.060007,0.04681,350000000.0,0.0013232174171545,0.0073775693832656,0.6862372895432289,0.9727270404945726,0.4325305102490486,0.1,0.1,0.049031,0.016934,436.0
setup 8,0.1,0.068577,0.060294,400000000.0,0.0041466536301124,0.0011751014926619,0.2217988480977539,0.0293606381614117,0.4851221594862591,0.1,0.1,0.04887,0.020749,620.0
setup 7,0.09,0.071263,0.062794,400000000.0,0.0017537109655313,0.0101893791059612,0.7115756662976341,0.1375418552934659,0.4794829661889959,0.1,0.1,0.050205,0.023868,436.0
setup 6,0.08,0.074283,0.065125,400000000.0,0.0024314112118788,0.0009324968531212,0.0368241132241015,0.0628857493903539,0.4753819383638338,0.1,0.1,0.051552,0.018928,331.0
setup 5,0.07,0.07767,0.067276,400000000.0,0.0039658299512838,0.0085810179306842,0.5359306899346689,0.0894160224741286,0.4703206532875912,0.1,0.1,0.052888,0.021507,439.0
setup 4,0.06,0.08146,0.069237,400000000.0,0.0007860411181356,0.0027348196001976,0.1055292569648591,0.010798583536406,0.4666022693265715,0.1,0.1,0.055161,0.018366,353.0
setup 3,0.05,0.085699,0.070997,400000000.0,0.0025266664502116,0.0014799039023071,0.0302076920851157,0.1766007816246112,0.4625496069104605,0.1,0.1,0.057035,0.016669,293.0
setup 2,0.04,0.090439,0.072546,400000000.0,0.0055506702861005,0.0080402228358423,1.0074114221751,0.5212390052481697,0.4594711724169269,0.1,0.1,0.059493,0.013153,292.0
setup 1,0.03,0.095744,0.073872,400000000.0,0.0017733687743952,0.0032776807044959,0.3006650800868732,0.2123925191186843,0.4557042725609681,0.1,0.1,0.061771,0.014306,297.0
setup 15,0.01,0.108367,0.075816,400000000.0,0.0011881974186241,0.0040303003331792,0.0549698249929925,0.5802981798359169,0.449547731995171,0.1,0.1,0.067392,0.014318,293.0
setup 16,0.02,0.101689,0.074965,400000000.0,0.0006888707752546,0.0006888707752546,0.0509572775662381,0.0559620931096238,0.4526590048155433,0.1,0.1,0.063191,0.014363,356.0
setup 10,0.02,0.121823,0.095143,450000000.0,0.0018066571974604,0.0199109068503907,2.662142699912662,1.2595446665082388,0.4943685980334044,0.1,0.1,0.072542,0.0086479,422.0
setup 16,0.08,0.092069,0.085796,450000000.0,0.0010622246408619,0.007124053420336,1.1421356586532594,0.9347661912977452,0.5136576305326445,0.1,0.1,0.056591,0.022343,230.0
setup 15,0.07,0.095877,0.087853,450000000.0,0.0028846144806071,0.0034679097227203,0.0631270021565627,0.0620838059602196,0.5097289568038037,0.1,0.1,0.059223,0.020705,577.0
setup 14,0.06,0.100083,0.089722,450000000.0,0.001369154121671,0.0050537644934796,0.0573096431606828,0.0134719081268108,0.5058488377350339,0.1,0.1,0.062161,0.01699,223.0
setup 13,0.05,0.104729,0.091394,450000000.0,0.0028459198080023,0.0041972545818298,0.4416838867189326,0.1044390328309163,0.5015768770804502,0.1,0.1,0.063957,0.019,460.0
setup 12,0.04,0.109861,0.092861,450000000.0,0.0034574429018789,0.0017088356428635,0.3126095062246092,0.1190174671532179,0.4989155920390714,0.1,0.1,0.065706,0.016661,479.0
setup 9,0.01,0.128798,0.095942,450000000.0,0.0020270423917071,0.003830879424291,0.3571971652470418,0.2803582352017691,0.4906631610699546,0.1,0.1,0.072128,0.015458,233.0
setup 2,0.1,0.08551,0.081159,450000000.0,0.0017264077740989,0.0019357619292964,0.3248736820627568,0.3273735045555559,0.5226714998224928,0.1,0.1,0.054927,0.022741,490.0
setup 1,0.09,0.088623,0.083562,450000000.0,0.0021599458898114,0.0010884491742558,0.0116598936449746,0.2320573153825611,0.5179646025782624,0.1,0.1,0.056762,0.021271,309.0
setup 11,0.03,0.115537,0.094113,450000000.0,0.0017032038275041,0.0017032038275041,0.0080487801212419,0.0251205420888495,0.4956670717619676,0.1,0.1,0.06814,0.016559,348.0
setup 8,0.06,0.119077,0.11027,500000000.0,0.003836060344103,0.0024188224845159,0.0439510908563228,0.0798338362037465,0.5452232150729399,0.1,0.1,0.068094,0.018848,232.0
setup 11,0.09,0.106501,0.104395,500000000.0,0.001892902566642,0.0088450051554535,1.3664883864316772,1.0980492906781936,0.5571644390957535,0.1,0.1,0.063939,0.019419,367.0
