D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [MeV/c],"f(x',y') [mrad^2]",studied variable,Astra key,xAngle xOffset slope[mm],xAngle yOffset slope [mm],yAngle xOffset slope [mm],yAngle yOffset slope [mm]
10.0,3.336,9.374,,2.0,350,2.837892825e-27,sourceOffsetX,x_off,-2.925,0.0,-2.926,0.001
10.0,3.336,9.374,,2.0,350,2.837892825e-27,sourceOffsetY,y_off,0.001,-10.083,0.0,-10.079
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q1OffsetX,Q_xoff(1),2.283,0.0,2.283,0.002
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q1OffsetY,Q_yoff(1),0.001,-8.516,0.0,-8.519
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q1OffsetZ,Q_pos(1),-0.013,0.0,0.0,0.122
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q1RotX,Q_xrot(1),0.002,0.0,0.002,0.0
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q1RotY,Q_yrot(1),0.001,-0.011,0.0,-0.011
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q1RotZ,Q_zrot(1),0.0,-0.009,-0.002,0.001
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q2OffsetX,Q_xoff(2),-5.105,0.0,-5.105,0.002
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q2OffsetY,Q_yoff(2),0.002,27.543,0.0,27.545
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q2OffsetZ,Q_pos(2),0.001,0.0,0.0,0.0
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q2RotX,Q_xrot(2),-0.038,0.0,-0.038,0.001
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q2RotY,Q_yrot(2),0.0,0.075,0.0,0.076
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q2RotZ,Q_zrot(2),0.001,0.049,0.015,0.0
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q3OffsetX,Q_xoff(3),6.749,0.0,6.749,0.001
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q3OffsetY,Q_yoff(3),0.001,-7.939,0.0,-7.941
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q3OffsetZ,Q_pos(3),0.0,0.0,0.0,0.0
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q3RotX,Q_xrot(3),0.012,0.0,0.012,0.0
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q3RotY,Q_yrot(3),0.001,0.022,0.0,0.022
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q3RotZ,Q_zrot(3),0.0,-0.038,-0.011,0.001
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q1Gradient,Q_grad(1),-0.005,0.0,0.0,0.024
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q2Gradient,Q_grad(2),-0.049,0.0,0.0,0.402
10.0,3.336,9.374,,2.0,350,2.837892825e-27,Q3Gradient,Q_grad(3),-0.293,0.0,0.0,0.118
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,sourceOffsetX,x_off,-2.439,0.0,-2.44,0.001
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,sourceOffsetY,y_off,0.001,-9.697,0.0,-9.694
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q1OffsetX,Q_xoff(1),1.675,0.0,1.675,0.002
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q1OffsetY,Q_yoff(1),0.001,-7.131,0.0,-7.134
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q1OffsetZ,Q_pos(1),-0.01,0.0,0.0,0.098
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q1RotX,Q_xrot(1),0.002,0.0,0.002,0.0
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q1RotY,Q_yrot(1),0.001,-0.009,0.0,-0.009
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q1RotZ,Q_zrot(1),0.0,-0.008,-0.002,0.001
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q2OffsetX,Q_xoff(2),-4.008,0.0,-4.008,0.001
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q2OffsetY,Q_yoff(2),0.001,24.488,0.0,24.489
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q2OffsetZ,Q_pos(2),0.001,0.0,0.0,0.0
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q2RotX,Q_xrot(2),-0.029,0.0,-0.029,0.001
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q2RotY,Q_yrot(2),0.0,0.062,0.0,0.062
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q2RotZ,Q_zrot(2),0.001,0.047,0.012,0.0
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q3OffsetX,Q_xoff(3),5.775,0.0,5.775,0.001
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q3OffsetY,Q_yoff(3),0.001,-6.655,0.0,-6.657
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q3OffsetZ,Q_pos(3),0.0,0.0,0.0,0.0
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q3RotX,Q_xrot(3),0.008,0.0,0.008,0.0
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q3RotY,Q_yrot(3),0.001,0.017,0.0,0.017
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q3RotZ,Q_zrot(3),0.0,-0.038,-0.009,0.001
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q1Gradient,Q_grad(1),-0.004,0.0,0.0,0.02
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q2Gradient,Q_grad(2),-0.041,0.0,0.0,0.378
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q3Gradient,Q_grad(3),-0.293,0.0,0.0,0.099
10.0,6.128,17.149,,2.0,450,9.77086372e-25,sourceOffsetX,x_off,-2.039,0.0,-2.04,0.001
10.0,6.128,17.149,,2.0,450,9.77086372e-25,sourceOffsetY,y_off,0.001,-9.32,0.0,-9.316
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1OffsetX,Q_xoff(1),1.25,0.0,1.25,0.002
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1OffsetY,Q_yoff(1),0.001,-6.069,0.0,-6.072
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1OffsetZ,Q_pos(1),-0.008,0.0,0.0,0.081
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1RotX,Q_xrot(1),0.001,0.0,0.001,0.0
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1RotY,Q_yrot(1),0.001,-0.007,0.0,-0.007
